alphazero: 16 worker threads (20 cores detected, leaving headroom)
alphazero: WARM-START spatial policy from checkpoints-az/champion.json (transplant [63, 24, 16, 1] -> [69, 24, 16, 1], 6 spatial weights = 0; init == base)
alphazero: warm-start SPATIAL value net from checkpoints-az4/value.json (arch [41, 32, 16, 1])
alphazero: out=checkpoints-az11 iters=500 games/iter=32 sims=96 bench every 5 (40 games)
iter 0: vs-hard win 40.0% (loss 35.0%, timeout 25.0%) | ploss 0.6960 vloss 0.4184 | buf 9090 | 29s *BEST*
iter 5: vs-hard win 25.0% (loss 37.5%, timeout 37.5%) | ploss 0.7214 vloss 0.5149 | buf 30000 | 197s
iter 10: vs-hard win 20.0% (loss 32.5%, timeout 47.5%) | ploss 0.7060 vloss 0.4400 | buf 30000 | 362s
iter 15: vs-hard win 22.5% (loss 35.0%, timeout 42.5%) | ploss 0.6478 vloss 0.3176 | buf 30000 | 500s
iter 20: vs-hard win 32.5% (loss 22.5%, timeout 45.0%) | ploss 0.5936 vloss 0.2692 | buf 30000 | 641s
iter 25: vs-hard win 32.5% (loss 35.0%, timeout 32.5%) | ploss 0.6219 vloss 0.3314 | buf 30000 | 776s
iter 30: vs-hard win 17.5% (loss 35.0%, timeout 47.5%) | ploss 0.5750 vloss 0.2706 | buf 30000 | 903s
iter 35: vs-hard win 15.0% (loss 40.0%, timeout 45.0%) | ploss 0.5949 vloss 0.3523 | buf 30000 | 1024s
iter 40: vs-hard win 20.0% (loss 35.0%, timeout 45.0%) | ploss 0.5586 vloss 0.3466 | buf 30000 | 1145s
iter 45: vs-hard win 15.0% (loss 30.0%, timeout 55.0%) | ploss 0.5608 vloss 0.3166 | buf 30000 | 1259s
iter 50: vs-hard win 17.5% (loss 27.5%, timeout 55.0%) | ploss 0.5378 vloss 0.2811 | buf 30000 | 1371s
iter 55: vs-hard win 15.0% (loss 37.5%, timeout 47.5%) | ploss 0.5110 vloss 0.2662 | buf 30000 | 1481s
iter 60: vs-hard win 17.5% (loss 25.0%, timeout 57.5%) | ploss 0.4964 vloss 0.2770 | buf 30000 | 1597s
iter 65: vs-hard win 10.0% (loss 32.5%, timeout 57.5%) | ploss 0.4947 vloss 0.2877 | buf 30000 | 1708s
iter 70: vs-hard win 5.0% (loss 35.0%, timeout 60.0%) | ploss 0.4523 vloss 0.2128 | buf 30000 | 1811s
iter 75: vs-hard win 10.0% (loss 35.0%, timeout 55.0%) | ploss 0.4023 vloss 0.1822 | buf 30000 | 1912s
iter 80: vs-hard win 12.5% (loss 37.5%, timeout 50.0%) | ploss 0.3811 vloss 0.1648 | buf 30000 | 2005s
iter 85: vs-hard win 22.5% (loss 30.0%, timeout 47.5%) | ploss 0.4418 vloss 0.2452 | buf 30000 | 2110s
iter 90: vs-hard win 22.5% (loss 25.0%, timeout 52.5%) | ploss 0.4533 vloss 0.2093 | buf 30000 | 2227s
iter 95: vs-hard win 15.0% (loss 32.5%, timeout 52.5%) | ploss 0.4605 vloss 0.3280 | buf 30000 | 2337s
iter 100: vs-hard win 22.5% (loss 35.0%, timeout 42.5%) | ploss 0.4798 vloss 0.3291 | buf 30000 | 2436s
iter 105: vs-hard win 15.0% (loss 45.0%, timeout 37.5%) | ploss 0.4787 vloss 0.3066 | buf 30000 | 2534s
iter 110: vs-hard win 17.5% (loss 35.0%, timeout 45.0%) | ploss 0.4388 vloss 0.3514 | buf 30000 | 2643s
iter 115: vs-hard win 15.0% (loss 32.5%, timeout 52.5%) | ploss 0.4510 vloss 0.2546 | buf 30000 | 2742s
iter 120: vs-hard win 15.0% (loss 37.5%, timeout 47.5%) | ploss 0.4416 vloss 0.3086 | buf 30000 | 2849s
iter 125: vs-hard win 10.0% (loss 32.5%, timeout 55.0%) | ploss 0.4307 vloss 0.2604 | buf 30000 | 2943s
iter 130: vs-hard win 15.0% (loss 32.5%, timeout 52.5%) | ploss 0.3953 vloss 0.1775 | buf 30000 | 3032s
iter 135: vs-hard win 10.0% (loss 30.0%, timeout 60.0%) | ploss 0.3601 vloss 0.1983 | buf 30000 | 3123s
iter 140: vs-hard win 17.5% (loss 32.5%, timeout 50.0%) | ploss 0.3544 vloss 0.2294 | buf 30000 | 3205s
iter 145: vs-hard win 12.5% (loss 27.5%, timeout 57.5%) | ploss 0.3104 vloss 0.1735 | buf 30000 | 3284s
iter 150: vs-hard win 5.0% (loss 30.0%, timeout 65.0%) | ploss 0.2793 vloss 0.1412 | buf 30000 | 3357s
iter 155: vs-hard win 12.5% (loss 32.5%, timeout 55.0%) | ploss 0.2903 vloss 0.1210 | buf 30000 | 3435s
iter 160: vs-hard win 7.5% (loss 40.0%, timeout 52.5%) | ploss 0.2588 vloss 0.1256 | buf 30000 | 3501s
iter 165: vs-hard win 10.0% (loss 40.0%, timeout 50.0%) | ploss 0.2597 vloss 0.1363 | buf 30000 | 3574s
iter 170: vs-hard win 17.5% (loss 32.5%, timeout 50.0%) | ploss 0.2505 vloss 0.1328 | buf 30000 | 3647s
iter 175: vs-hard win 7.5% (loss 42.5%, timeout 50.0%) | ploss 0.2730 vloss 0.1901 | buf 30000 | 3722s
iter 180: vs-hard win 0.0% (loss 42.5%, timeout 57.5%) | ploss 0.2725 vloss 0.1601 | buf 30000 | 3802s
iter 185: vs-hard win 15.0% (loss 32.5%, timeout 52.5%) | ploss 0.2687 vloss 0.1584 | buf 30000 | 3883s
iter 190: vs-hard win 10.0% (loss 35.0%, timeout 55.0%) | ploss 0.2491 vloss 0.1387 | buf 30000 | 3964s
iter 195: vs-hard win 10.0% (loss 37.5%, timeout 52.5%) | ploss 0.2239 vloss 0.0965 | buf 30000 | 4044s
iter 200: vs-hard win 15.0% (loss 35.0%, timeout 47.5%) | ploss 0.2565 vloss 0.1719 | buf 30000 | 4129s
iter 205: vs-hard win 12.5% (loss 37.5%, timeout 50.0%) | ploss 0.2903 vloss 0.2384 | buf 30000 | 4215s
iter 210: vs-hard win 12.5% (loss 42.5%, timeout 45.0%) | ploss 0.3193 vloss 0.2628 | buf 30000 | 4299s
iter 215: vs-hard win 5.0% (loss 45.0%, timeout 50.0%) | ploss 0.3279 vloss 0.2182 | buf 30000 | 4391s
iter 220: vs-hard win 17.5% (loss 37.5%, timeout 42.5%) | ploss 0.2634 vloss 0.1284 | buf 30000 | 4480s
iter 225: vs-hard win 10.0% (loss 40.0%, timeout 50.0%) | ploss 0.2850 vloss 0.2161 | buf 30000 | 4558s
iter 230: vs-hard win 7.5% (loss 40.0%, timeout 52.5%) | ploss 0.2872 vloss 0.2463 | buf 30000 | 4647s
iter 235: vs-hard win 10.0% (loss 40.0%, timeout 50.0%) | ploss 0.2770 vloss 0.1619 | buf 30000 | 4736s
iter 240: vs-hard win 2.5% (loss 42.5%, timeout 55.0%) | ploss 0.2821 vloss 0.2381 | buf 30000 | 4830s
iter 245: vs-hard win 10.0% (loss 37.5%, timeout 52.5%) | ploss 0.2624 vloss 0.1513 | buf 30000 | 4917s
iter 250: vs-hard win 12.5% (loss 35.0%, timeout 52.5%) | ploss 0.2407 vloss 0.1486 | buf 30000 | 5000s
iter 255: vs-hard win 5.0% (loss 37.5%, timeout 55.0%) | ploss 0.2471 vloss 0.1575 | buf 30000 | 5087s
iter 260: vs-hard win 15.0% (loss 37.5%, timeout 47.5%) | ploss 0.1969 vloss 0.1403 | buf 30000 | 5173s
iter 265: vs-hard win 10.0% (loss 35.0%, timeout 55.0%) | ploss 0.2242 vloss 0.1579 | buf 30000 | 5254s
iter 270: vs-hard win 7.5% (loss 42.5%, timeout 50.0%) | ploss 0.2635 vloss 0.1701 | buf 30000 | 5348s
iter 275: vs-hard win 12.5% (loss 37.5%, timeout 50.0%) | ploss 0.2373 vloss 0.2179 | buf 30000 | 5449s
iter 280: vs-hard win 20.0% (loss 30.0%, timeout 50.0%) | ploss 0.2403 vloss 0.1671 | buf 30000 | 5537s
iter 285: vs-hard win 12.5% (loss 30.0%, timeout 57.5%) | ploss 0.2197 vloss 0.1282 | buf 30000 | 5618s
iter 290: vs-hard win 10.0% (loss 32.5%, timeout 57.5%) | ploss 0.2252 vloss 0.1950 | buf 30000 | 5706s
iter 295: vs-hard win 12.5% (loss 30.0%, timeout 57.5%) | ploss 0.1914 vloss 0.1080 | buf 30000 | 5783s
iter 300: vs-hard win 7.5% (loss 32.5%, timeout 60.0%) | ploss 0.2082 vloss 0.1640 | buf 30000 | 5866s
iter 305: vs-hard win 17.5% (loss 35.0%, timeout 47.5%) | ploss 0.2231 vloss 0.1832 | buf 30000 | 5949s
iter 310: vs-hard win 20.0% (loss 30.0%, timeout 50.0%) | ploss 0.2255 vloss 0.2252 | buf 30000 | 6039s
iter 315: vs-hard win 15.0% (loss 30.0%, timeout 55.0%) | ploss 0.2325 vloss 0.1089 | buf 30000 | 6134s
iter 320: vs-hard win 15.0% (loss 27.5%, timeout 57.5%) | ploss 0.2093 vloss 0.1630 | buf 30000 | 6227s
iter 325: vs-hard win 10.0% (loss 35.0%, timeout 55.0%) | ploss 0.2298 vloss 0.1999 | buf 30000 | 6325s
iter 330: vs-hard win 10.0% (loss 37.5%, timeout 52.5%) | ploss 0.2277 vloss 0.2076 | buf 30000 | 6418s
iter 335: vs-hard win 10.0% (loss 35.0%, timeout 55.0%) | ploss 0.2287 vloss 0.1804 | buf 30000 | 6509s
iter 340: vs-hard win 7.5% (loss 35.0%, timeout 57.5%) | ploss 0.2503 vloss 0.2287 | buf 30000 | 6602s
iter 345: vs-hard win 7.5% (loss 37.5%, timeout 55.0%) | ploss 0.2319 vloss 0.2108 | buf 30000 | 6693s
iter 350: vs-hard win 17.5% (loss 30.0%, timeout 52.5%) | ploss 0.2080 vloss 0.2183 | buf 30000 | 6786s
iter 355: vs-hard win 15.0% (loss 32.5%, timeout 52.5%) | ploss 0.2253 vloss 0.2007 | buf 30000 | 6875s
iter 360: vs-hard win 12.5% (loss 32.5%, timeout 55.0%) | ploss 0.2036 vloss 0.1320 | buf 30000 | 6964s
iter 365: vs-hard win 15.0% (loss 35.0%, timeout 50.0%) | ploss 0.1904 vloss 0.1686 | buf 30000 | 7054s
iter 370: vs-hard win 15.0% (loss 30.0%, timeout 55.0%) | ploss 0.1945 vloss 0.1443 | buf 30000 | 7153s
iter 375: vs-hard win 12.5% (loss 32.5%, timeout 55.0%) | ploss 0.1875 vloss 0.1699 | buf 30000 | 7246s
iter 380: vs-hard win 17.5% (loss 30.0%, timeout 52.5%) | ploss 0.1833 vloss 0.1678 | buf 30000 | 7337s
iter 385: vs-hard win 7.5% (loss 35.0%, timeout 57.5%) | ploss 0.1926 vloss 0.2270 | buf 30000 | 7431s
iter 390: vs-hard win 7.5% (loss 37.5%, timeout 55.0%) | ploss 0.2176 vloss 0.2090 | buf 30000 | 7519s
iter 395: vs-hard win 10.0% (loss 32.5%, timeout 57.5%) | ploss 0.2079 vloss 0.1766 | buf 30000 | 7606s
iter 400: vs-hard win 5.0% (loss 35.0%, timeout 60.0%) | ploss 0.2001 vloss 0.1701 | buf 30000 | 7692s
iter 405: vs-hard win 10.0% (loss 35.0%, timeout 55.0%) | ploss 0.1861 vloss 0.2118 | buf 30000 | 7793s
iter 410: vs-hard win 17.5% (loss 32.5%, timeout 50.0%) | ploss 0.1805 vloss 0.1988 | buf 30000 | 7877s
