alphazero: 16 worker threads (20 cores detected, leaving headroom)
alphazero: WARM-START spatial policy from checkpoints-az/champion.json (transplant [63, 24, 16, 1] -> [69, 24, 16, 1], 6 spatial weights = 0; init == base)
alphazero: warm-start SPATIAL value net from checkpoints-az4/value.json (arch [41, 32, 16, 1])
alphazero: out=checkpoints-az12 iters=250 games/iter=32 sims=96 bench every 5 (40 games)
alphazero: vs-hard-frac 0.75 → 24/32 games/iter vs the HARD bot (main exploiter)
iter 0: vs-hard win 17.5% (loss 40.0%, timeout 42.5%) | ploss 0.7268 vloss 0.5159 | buf 5003 | 20s *BEST*
iter 5: vs-hard win 22.5% (loss 42.5%, timeout 35.0%) | ploss 0.7240 vloss 0.4817 | buf 29098 | 135s *BEST*
iter 10: vs-hard win 22.5% (loss 37.5%, timeout 37.5%) | ploss 0.7099 vloss 0.4038 | buf 30000 | 247s
iter 15: vs-hard win 25.0% (loss 47.5%, timeout 27.5%) | ploss 0.6739 vloss 0.3342 | buf 30000 | 364s *BEST*
iter 20: vs-hard win 25.0% (loss 35.0%, timeout 40.0%) | ploss 0.6165 vloss 0.3257 | buf 30000 | 468s
iter 25: vs-hard win 22.5% (loss 22.5%, timeout 52.5%) | ploss 0.6491 vloss 0.3373 | buf 30000 | 574s
iter 30: vs-hard win 22.5% (loss 17.5%, timeout 60.0%) | ploss 0.6433 vloss 0.2622 | buf 30000 | 686s
iter 35: vs-hard win 25.0% (loss 22.5%, timeout 52.5%) | ploss 0.5516 vloss 0.1762 | buf 30000 | 750s
iter 40: vs-hard win 17.5% (loss 20.0%, timeout 62.5%) | ploss 0.5156 vloss 0.1693 | buf 30000 | 831s
iter 45: vs-hard win 20.0% (loss 17.5%, timeout 62.5%) | ploss 0.5093 vloss 0.2069 | buf 30000 | 914s
iter 50: vs-hard win 15.0% (loss 25.0%, timeout 60.0%) | ploss 0.5125 vloss 0.1895 | buf 30000 | 995s
iter 55: vs-hard win 15.0% (loss 25.0%, timeout 60.0%) | ploss 0.4606 vloss 0.1296 | buf 30000 | 1054s
iter 60: vs-hard win 17.5% (loss 22.5%, timeout 60.0%) | ploss 0.4204 vloss 0.1375 | buf 30000 | 1113s
